recovery_id,tag_code,tag_status,Vessel_type,Cruise_no,Haul_or_Delivery_no,species_name_by_observer,Missing_Fins,sample:in_or_out?,recovery_date,run_year,Lat,latmin,Hem,Long,Longm,Bear,Area,sex,gonad_m,length,weight,Other_comments,Date_entered,Plant_recovery,detection_method,sampling_site,Date_snout_sent_to_ABL,Detected_with,sampling_,fishery,gear_name,Report_code,New_data,length_code,length_type,weight_code,weight_type,recorded_mark,location_type,hssector,specimen_number,ADFG_stat_area,Initials_CWT_reade
2019170162,183979,1, Rockfish          ,                    ,                               , CHINOOK                  , Ad               , in                      ,20190505,2019,             ,        , N        ,        ,       , W           ,630, F      ,         ,520,1.7,                                                                   ,20191129, N                 , E                , hsrf                 ,                                    , Y             ,           ,812, trawl        , REP21            , N                  ,                    ,                    ,                    ,                    ,5000,1,3,3, 535602 70%/525630  , AM                 
2019170161,211216,1, Rockfish          ,                    ,                               , CHINOOK                  , Ad               , in                      ,20190504,2019,             ,        , N        ,        ,       , W           ,630, F      ,         ,520,1.6,                                                                   ,20191129, N                 , E                , hsrf                 ,                                    , Y             ,           ,812, trawl        , REP21            , N                  ,                    ,                    ,                    ,                    ,5000,1,3,2, 505730 90%/525600  , AM                 
2019170160,211217,1, Rockfish          ,                    ,                               , CHINOOK                  , NONE             , in                      ,20190503,2019,             ,        , N        ,        ,       , W           ,630, M      ,         ,530,1.8,                                                                   ,20191129, N                 , E                , hsrf                 ,                                    , Y             ,           ,812, trawl        , REP21            , N                  ,                    ,                    ,                    ,                    ,0,1,3,4,505800, AM                 
2019170159,211168,1, Rockfish          ,                    ,                               , CHINOOK                  , Ad               , in                      ,20190514,2019,             ,        , N        ,        ,       , W           ,630, F      ,         ,630,3.2,                                                                   ,20191129, N                 , E                , hsrf                 ,                                    , Y             ,           ,812, trawl        , REP21            , N                  ,                    ,                    ,                    ,                    ,5000,1,3,6, 495730 95%/505700  , AM                 
2019170158,91178,1, Rockfish          ,                    ,                               , CHINOOK                  , Ad               , in                      ,20191106,2019,             ,        , N        ,        ,       , W           ,630, F      ,         ,610,3.1,                                                                   ,20191129, N                 , E                , hsrf                 ,                                    , Y             ,           ,812, trawl        , REP21            , N                  ,                    ,                    ,                    ,                    ,5000,1,3,35,495730, AM                 
2019170157,637238,1, Rockfish          ,                    ,                               , CHINOOK                  , Ad               , in                      ,20191031,2019,             ,        , N        ,        ,       , W           ,630, F      ,         ,310,0.5,                                                                   ,20191129, N                 , E                , hsrf                 ,                                    , Y             ,           ,812, trawl        , REP21            , N                  ,                    ,                    ,                    ,                    ,5000,1,3,32,495730, AM                 
2019170154,637139,1, Rockfish          ,                    ,                               , CHINOOK                  , Ad               , in                      ,20191021,2019,             ,        , N        ,        ,       , W           ,630, F      ,         ,570,2.5,                                                                   ,20191129, N                 , E                , hsrf                 ,                                    , Y             ,           ,812, trawl        , REP21            , N                  ,                    ,                    ,                    ,                    ,5000,1,3,29,515700, AM                 
2019170152,211216,1, Rockfish          ,                    ,                               , CHINOOK                  , Ad               , in                      ,20191021,2019,             ,        , N        ,        ,       , W           ,630, M      ,         ,680,4.5,                                                                   ,20191129, N                 , E                , hsrf                 ,                                    , Y             ,           ,812, trawl        , REP21            , N                  ,                    ,                    ,                    ,                    ,5000,1,3,30,515700, AM                 
2019170151,610481,1, Rockfish          ,                    ,                               , CHINOOK                  , Ad               , in                      ,20191003,2019,             ,        , N        ,        ,       , W           ,630, F      ,         ,670,4.2,                                                                   ,20191129, N                 , E                , hsrf                 ,                                    , Y             ,           ,812, trawl        , REP21            , N                  ,                    ,                    ,                    ,                    ,5000,1,3,31,495730, AM                 
2018170029,                 ,2, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20181115,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,750,5.6,                                                                   ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,29, 505700 (70%) /     ,                    
