,state/prov,F/M,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,description,rmpc_region,rmpc_basin,Rec area-W,Rec area.Shelton,Rec area.Shelton2,Rec area.Shelton3,Rec.area.Sullaway.Shelton,Rec.area.GS.nmfs
9023,3,M,3M10107X3  XSAM,1,SAMISH R & AREA 7C,NA,NA,NOOKG,NOOK,SAMISH RIVER COMBINED WITH SAMISH BAY (7C) (NET),NOOK,NOOKG,PUSO,PUSO,PUSO.OUT,PUSO.IN,PUSO.OUT,PUSO.OUT
9024,3,M,3M10107X4,1,AREAS 7B&7C&NOOKSACK,NA,NA,NOOKG,NOOK,COMBINATION OF BELLINGHAM BAY (7B) & SAMISH BAY (7C) & NOOKSACK R (NET),NOOK,NOOKG,PUSO,PUSO,PUSO.OUT,PUSO.IN,PUSO.OUT,PUSO.OUT
9025,3,M,3M10107X4  X7B,1,AREAS 7B+7C+NOOKSACK,NA,NA,NOOKG,NOOK,BELLINGHAM BAY (7B) COMBINED WITH SAMISH BAY (7C) & NOOKSACK R (NET),NOOK,NOOKG,PUSO,PUSO,PUSO.OUT,PUSO.IN,PUSO.OUT,PUSO.OUT
9026,3,M,3M10107X4  X7C,1,AREAS 7C+7B+NOOKSACK,NA,NA,NOOKG,NOOK,SAMISH BAY (7C) COMBINED WITH BELLINGHAM BAY (7B) & NOOKSACK R (NET),NOOK,NOOKG,PUSO,PUSO,PUSO.OUT,PUSO.IN,PUSO.OUT,PUSO.OUT
9027,3,M,3M10107X4  XNR,1,NOOKSACK+AREAS 7B+7C,NA,NA,NOOKG,NOOK,NOOKSACK R COMBINED WITH BELLINGHAM BAY (7B) & SAMISH BAY (7C) (NET),NOOK,NOOKG,PUSO,PUSO,PUSO.OUT,PUSO.IN,PUSO.OUT,PUSO.OUT
9028,3,M,3M102,1,SKAGIT TERMINAL  (8),NA,NA,SKAGG,SKAG,SKAGIT TERMINAL  (8 )- COMMERCIAL,SKAG,SKAGG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9029,3,M,3M10208,1,SKAGIT BAY  (AREA 8),NA,NA,SKAGG,SKAG,SKAGIT BAY       (8 ),SKAG,SKAGG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9030,3,M,3M10208X1,1,SKAGIT BAY +SKAGIT R,NA,NA,SKAGG,SKAG,COMBINATION OF SKAGIT BAY & SKAGIT RIVER (NET),SKAG,SKAGG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9031,3,M,3M10208X1  X8,1,SKAGIT BAY &SKAGIT R,NA,NA,SKAGG,SKAG,SKAGIT BAY COMBINED WITH SKAGIT RIVER (NET),SKAG,SKAGG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9032,3,M,3M10208X1  XSR,1,SKAGIT R +SKAGIT BAY,NA,NA,SKAGG,SKAG,SKAGIT RIVER COMBINED WITH SKAGIT BAY (NET),SKAG,SKAGG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
