OWNER NAME,NMFS ID,AFA COOP ID,COOP NAME,VESSEL NAME,ADFG,CG NUM,VESSEL AFA PERMIT,ADDRESS 1,ADDRESS 2,CITY,State,Zip
"RAVEN ENTERPRISES, INC.",3015,101,AKUTAN CATCHER VESSEL ASSOCIATION,RAVEN,56395,629499,1236,1676 NE YAQUINA HTS DR,"NEWPORT, OR 97365",NEWPORT,OR,97365
"ROYAL AMERICAN FISHERIES, LLC",12658,101,AKUTAN CATCHER VESSEL ASSOCIATION,ROYAL AMERICAN,40840,624371,543,4225 23RD AVE W. #103,"SEATTLE, WA 98199",SEATTLE,WA,98199
"F/V SEEKER, INC.",202,101,AKUTAN CATCHER VESSEL ASSOCIATION,SEEKER,59476,924585,2849,PO BOX 1010,"NEWPORT, OR 97365",NEWPORT,OR,97365
TRIDENT SEAFOODS CORPORATION,8184,101,AKUTAN CATCHER VESSEL ASSOCIATION,SOVEREIGNTY,55199,651752,2770,ATTN ALASKA SUPPORT,5303 SHILSHOLE AVE NW,SEATTLE,WA,98107
TRAVELER FISHERIES LLC,44717,101,AKUTAN CATCHER VESSEL ASSOCIATION,TRAVELER,58821,929356,3404,4225 23RD AVE W. SUITE 102,"SEATTLE, WA 98199",SEATTLE,WA,98199
"ROYAL VIKING, INC.",536,101,AKUTAN CATCHER VESSEL ASSOCIATION,VIKING EXPLORER,36045,605228,1116,5303 SHISHOLE AVE NW,ATTN ALASKA SUPPORT,SEATTLE,WA,98107
"WA'ATCH, INC.",3028,103,NORTHERN VICTOR FLEET COOPERATIVE,ALYESKA,45,560237,395,PO BOX 135,"NEAH BAY, WA 98357",NEAH BAY,WA,98357
"EVENING STAR, INC.",28317,103,NORTHERN VICTOR FLEET COOPERATIVE,AMERICAN EAGLE,39,558605,434,PO BOX 79003,"SEATTLE, WA 98119",SEATTLE,WA,98119
"EVENING STAR, INC.",28317,103,NORTHERN VICTOR FLEET COOPERATIVE,ANITA J,29,560532,1913,PO BOX 79003,"SEATTLE, WA 98119",SEATTLE,WA,98119
"COLLIER BROTHERS, LLC",103854,103,NORTHERN VICTOR FLEET COOPERATIVE,COLLIER BROTHERS,54648,593809,2791,7468 EVERWOOD STREET NE,"KEIZER, OR 97303",KEIZER,OR,97303
"EVENING STAR, INC.",28317,103,NORTHERN VICTOR FLEET COOPERATIVE,COMMODORE,53843,914214,2657,PO BOX 79003,"SEATTLE, WA 98119",SEATTLE,WA,98119
"GOLDEN TIDE, INC.",10271,103,NORTHERN VICTOR FLEET COOPERATIVE,GOLD RUSH,40309,521106,1868,PO BOX 1714,"NEWPORT, OR 97365",NEWPORT,OR,97365
"EVENING STAR, INC.",28317,103,NORTHERN VICTOR FLEET COOPERATIVE,HALF MOON BAY,39230,615796,249,PO BOX 79003,"SEATTLE, WA 98119",SEATTLE,WA,98119
"EVENING STAR, INC.",28317,103,NORTHERN VICTOR FLEET COOPERATIVE,HICKORY WIND,47795,594154,993,PO BOX 79003,"SEATTLE, WA 98119",SEATTLE,WA,98119
"MISS BERDIE, INC.",8204,103,NORTHERN VICTOR FLEET COOPERATIVE,MISS BERDIE,59123,913277,3679,PO BOX 459,"NEWPORT, OR 97365",NEWPORT,OR,97365
NORDIC FURY LLC,111247,103,NORTHERN VICTOR FLEET COOPERATIVE,NORDIC FURY,200,542651,1094,4005 20TH AVENUE S SUITE 207,"SEATTLE, WA 98199",SEATTLE,WA,98199
"EVENING STAR, INC.",28317,103,NORTHERN VICTOR FLEET COOPERATIVE,OCEAN HOPE 3,48173,652397,1623,PO BOX 79003,"SEATTLE, WA 98119",SEATTLE,WA,98119
"FURY GROUP, INC.",221,103,NORTHERN VICTOR FLEET COOPERATIVE,PACIFIC FURY,33,561934,421,4005 20TH AVE W STE 207,"SEATTLE, WA 98199",SEATTLE,WA,98199
"BERING FISHING, LLC",109966,103,NORTHERN VICTOR FLEET COOPERATIVE,PATRICIA L,37036,610436,1164,PO BOX 79003,"SEATTLE, WA 98119",SEATTLE,WA,98119
"PROGRESS FISHING, LLC",97635,103,NORTHERN VICTOR FLEET COOPERATIVE,PROGRESS,6,565349,512,PO BOX 79003,"SEATTLE, WA 98119",SEATTLE,WA,98119
"EVENING STAR, INC.",28317,103,NORTHERN VICTOR FLEET COOPERATIVE,STORM PETREL,39860,620769,1641,PO BOX 79003,"SEATTLE, WA 98119",SEATTLE,WA,98119
"EVENING STAR, INC.",28317,103,NORTHERN VICTOR FLEET COOPERATIVE,SUNSET BAY,35527,598484,251,PO BOX 79003,"SEATTLE, WA 98119",SEATTLE,WA,98119
ALAKANUK BEAUTY LLC,29027,104,PETER PAN FLEET COOPERATIVE,AMERICAN BEAUTY,24255,613847,1688,2200 ALASKAN WAY STE 420,"SEATTLE, WA 98121",SEATTLE,WA,98121
B & N FISHERIES COMPANY,28690,104,PETER PAN FLEET COOPERATIVE,ARCTIC WIND,1112,608216,5137,303 NE NORTHLAKE WAY,"SEATTLE, WA 98105-6817",SEATTLE,WA,98105-6817
"ELIZABETH F, INC.",171,104,PETER PAN FLEET COOPERATIVE,ELIZABETH F,14767,526037,823,2705 MILL BAY RD,"KODIAK, AK 99615",KODIAK,AK,99615
"EMMONAK LEADER, LLC",29005,104,PETER PAN FLEET COOPERATIVE,OCEAN LEADER,32,561518,1229,2200 ALASKAN WAY STE 420,"SEATTLE, WA 98121",SEATTLE,WA,98121
"OCEANIC FISHERIES, LLC",40129,104,PETER PAN FLEET COOPERATIVE,OCEANIC,3404,602279,1667,19731-21ST AVENUE NW,"SHORELINE, WA 98177",SHORELINE,WA,98177
PACIFIC DAWN LLC,38690,104,PETER PAN FLEET COOPERATIVE,PACIFIC CHALLENGER,6931,518937,657,2324 N.W.90TH ST,"SEATTLE, WA 98117",SEATTLE,WA,98117
F/V OCEAN SPRAY PARTNERSHIP,3115,104,PETER PAN FLEET COOPERATIVE,PROVIDIAN,70709,1062183,6308,PO BOX 2666,"SOUTH PORTLAND, ME 04116",SOUTH PORTLAND,ME,4116
"CHANDLER FISHERIES, INC.",8689,104,PETER PAN FLEET COOPERATIVE,TOPAZ,40250,575428,405,569 LETA ST,"KODIAK, AK 99615",KODIAK,AK,99615
"ELIZABETH F, INC.",171,104,PETER PAN FLEET COOPERATIVE,WALTER N,34919,257365,825,2705 MILL BAY RD,"KODIAK, AK 99615",KODIAK,AK,99615
"ALASKA ROSE, ALASKA LLC",2843,105,UNALASKA FLEET COOPERATIVE (ALYESKA),ALASKA ROSE,38989,610984,515,PO BOX 31091,"SEATTLE, WA 98103",SEATTLE,WA,98103
