AFA COOP ID,COOP NAME,VESSEL NAME,ADFG,CG NUM,VESSEL AFA PERMIT
106,UNISEA FLEET COOPERATIVE,ALSEA,40749,626517,2811
106,UNISEA FLEET COOPERATIVE,ARGOSY,38547,611365,2810
106,UNISEA FLEET COOPERATIVE,AURIGA,56153,639547,2889
106,UNISEA FLEET COOPERATIVE,AURORA,56154,636919,2888
106,UNISEA FLEET COOPERATIVE,DEFENDER,56676,554030,3257
106,UNISEA FLEET COOPERATIVE,FIERCE ALLEGIANCE,55111,588849,4133
106,UNISEA FLEET COOPERATIVE,GUN-MAR,41312,640130,425
106,UNISEA FLEET COOPERATIVE,MAR-GUN,12110,525608,524
106,UNISEA FLEET COOPERATIVE,NORDIC STAR,961,584684,428
106,UNISEA FLEET COOPERATIVE,PACIFIC MONARCH,54645,557467,2785
106,UNISEA FLEET COOPERATIVE,SEADAWN,77,548685,2059
106,UNISEA FLEET COOPERATIVE,STAR FISH,12,561651,1167
106,UNISEA FLEET COOPERATIVE,STARLITE,34931,597065,1998
106,UNISEA FLEET COOPERATIVE,STARWARD,39197,617807,417
107,WESTWARD FLEET COOPERATIVE,ALASKAN COMMAND,57321,599383,3391
107,WESTWARD FLEET COOPERATIVE,ALYESKA,45,560237,395
107,WESTWARD FLEET COOPERATIVE,ARCTIC WIND,1112,608216,5137
107,WESTWARD FLEET COOPERATIVE,CAITLIN ANN,59779,960836,3800
107,WESTWARD FLEET COOPERATIVE,CHELSEA K,62906,976753,4620
107,WESTWARD FLEET COOPERATIVE,DONA MARTITA,51672,651751,2047
107,WESTWARD FLEET COOPERATIVE,HICKORY WIND,47795,594154,993
107,WESTWARD FLEET COOPERATIVE,OCEAN HOPE 3,48173,652397,1623
107,WESTWARD FLEET COOPERATIVE,PACIFIC KNIGHT,54643,561771,2783
107,WESTWARD FLEET COOPERATIVE,PACIFIC PRINCE,61450,697280,4194
107,WESTWARD FLEET COOPERATIVE,VIKING,8,565017,1222
107,WESTWARD FLEET COOPERATIVE,WESTWARD I,53247,615165,1650
200,AFA CATCHER PROCESSORS,ALASKA OCEAN,60407,637856,3794
200,AFA CATCHER PROCESSORS,AMERICAN DYNASTY,59378,951307,3681
200,AFA CATCHER PROCESSORS,AMERICAN ENTERPRISE,54836,594803,2760
200,AFA CATCHER PROCESSORS,AMERICAN TRIUMPH,60660,646737,4055
200,AFA CATCHER PROCESSORS,ARCTIC FJORD,57450,940866,3396
200,AFA CATCHER PROCESSORS,ARCTIC STORM,54886,903511,2943
200,AFA CATCHER PROCESSORS,ENDURANCE,57201,592206,3360
200,AFA CATCHER PROCESSORS,HIGHLAND LIGHT,56974,577044,3348
200,AFA CATCHER PROCESSORS,ISLAND ENTERPRISE,59503,610290,3870
200,AFA CATCHER PROCESSORS,KATIE ANN,55301,518441,1996
200,AFA CATCHER PROCESSORS,KODIAK ENTERPRISE,59170,579450,3671
200,AFA CATCHER PROCESSORS,NORTHERN EAGLE,56618,506694,3261
200,AFA CATCHER PROCESSORS,NORTHERN GLACIER,48075,663457,661
200,AFA CATCHER PROCESSORS,NORTHERN HAWK,60795,643771,4063
200,AFA CATCHER PROCESSORS,NORTHERN JAEGER,60202,521069,3896
200,AFA CATCHER PROCESSORS,OCEAN PEACE,55767,677399,2134
200,AFA CATCHER PROCESSORS,OCEAN ROVER,56987,552100,3442
200,AFA CATCHER PROCESSORS,PACIFIC GLACIER,56991,933627,3357
200,AFA CATCHER PROCESSORS,SEATTLE ENTERPRISE,56789,904767,3245
200,AFA CATCHER PROCESSORS,STARBOUND,57621,944658,3414
200,AFA CATCHER PROCESSORS,U.S. ENTERPRISE,55125,921112,3004
300,AFA MOTHERSHIPS,EXCELLENCE,60958,967502,4111
300,AFA MOTHERSHIPS,GOLDEN ALASKA,52929,651041,1607
300,AFA MOTHERSHIPS,OCEAN PHOENIX,59463,296779,3703
