"","ID","ocean.region","brood_year","release_year","Median.month.release","N.released","n_month","m.median","m.mean","m.sd","X2.5.","X5.","X10.","X25.","X50.","X75.","X90.","X95.","X97.5."
"1","Coleman","SFB",1980,1981,3,651733,12,2.49735924158559,2.49735924158559,0.370182938981134,1.81806714126602,1.95951519553141,2.05192601082308,2.28803704178807,2.49735924158559,2.71849792509313,3.01123997676818,3.17843072861962,3.29140773245126
"2","Coleman","SFB",1981,1982,2.5,780262,12.5,2.25898502173033,2.25898502173033,0.325608876886256,1.67843234291855,1.76177398619362,1.85621027841956,2.06518357991604,2.25898502173033,2.48889528920312,2.70339385133597,2.83490095077855,2.93743979178384
"3","Coleman","SFB",1982,1983,6,269816,9,2.72214323852858,2.72214323852858,0.380876874653991,2.07343812179083,2.13515155400528,2.23271067089633,2.45179722249841,2.72214323852858,2.97777745641817,3.25081743299994,3.37414221013188,3.4597740620376
"4","Coleman","SFB",1983,1984,4,669629,11,2.39566789360983,2.39566789360983,0.331693107358018,1.81391294452252,1.86593935535086,1.99081725782221,2.18391572683757,2.39566789360983,2.61045925617036,2.8558632627915,2.95313433287275,3.12784247847201
"5","Coleman","SFB",1984,1985,2.5,405584,12.5,2.64529428032839,2.64529428032839,0.398765240503899,1.94381613021848,2.02925713879017,2.161979604273,2.42652128653263,2.64529428032839,2.92112533747121,3.17390783209355,3.37799642322498,3.59492150580124
"6","Coleman","SFB",1985,1986,2.5,261601,12.5,2.69039697298533,2.69039697298533,0.437692535788101,1.94228291869296,2.05467673584248,2.19381955372889,2.41130663721708,2.69039697298533,2.98245968121431,3.27214027404704,3.51454091236177,3.65757795094906
"7","Coleman","SFB",1986,1987,4,307569,11,2.52912503890868,2.52912503890868,0.398456665634839,1.84778879397043,1.93799245565604,2.06227069715029,2.27924874208203,2.52912503890868,2.81744057184508,3.0570997200181,3.25514775075474,3.37772812007044
"8","Coleman","SFB",1987,1988,3.5,305720,11.5,2.52903398753289,2.52903398753289,0.352808149967916,1.92470136265403,1.95941347770182,2.05874351758552,2.27641926366035,2.52903398753289,2.75135233810104,2.96292806114678,3.11644952250111,3.23857564030203
"9","Coleman","SFB",1988,1989,5,193972,10,2.45412900072975,2.45412900072975,0.418331113588963,1.77168381644597,1.82249561118427,1.96826625279089,2.19776461451887,2.45412900072975,2.75811709629243,3.08934733270955,3.22790134671854,3.34919304011937
"10","Coleman","SFB",1989,1990,5,207125,10,2.62684206491798,2.62684206491798,0.390371754586024,1.89490079555384,2.0073276720221,2.19800177300621,2.39032864927891,2.62684206491798,2.85476531855024,3.16898542431761,3.30055156845318,3.4987444784575
