Fishery,Year,Vessel Name ,ADFG ,USCG ,AFA ,Inshore ,Co-op ,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ALASKAN COMMAND,57321,599383,3391,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ALDEBARAN,48215,664363,901,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ALEUTIAN CHALLENGER,50570,603820,1687,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ALSEA,40749,626517,2811,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ALYESKA,00045,560237,395,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,AMBER DAWN,00028,529425,980,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,AMERICAN BEAUTY,24255,613847,1688,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,AMERICAN CHALLENGER,62152,633219,4120,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,AMERICAN EAGLE,00039,558605,434,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ANITA J,00029,560532,1913,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ARCTIC EXPLORER,57440,936302,3388,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ARCTIC WIND,01112,608216,5137,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ARCTURUS,45978,655328,533,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ARGOSY,38547,611365,2810,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,AURIGA,56153,639547,2889,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,AURORA,56154,636919,2888,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,BERING ROSE,40638,624325,516,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,BLUE FOX,62892,979437,4611,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,BRISTOL EXPLORER,55923,647985,3007,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,CAITLIN ANN,59779,960836,3800,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,CALIFORNIA HORIZON,33697,590758,412,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,CAPE KIWANDA,61432,618158,1235,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,CHELSEA K,62906,976753,4620,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,COLLIER BROTHERS,54648,593809,2791,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,COLUMBIA,39056,615729,1228,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,COMMODORE,53843,914214,2657,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,DEFENDER,56676,554030,3257,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,DESTINATION,60655,571879,3988,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,DOMINATOR,08668,602309,411,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,DONA MARTITA,51672,651751,2047,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ELIZABETH F,14767,526037,823,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,EXCALIBUR II,54653,636602,410,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,EXODUS,33112,598666,1249,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,FIERCE ALLEGIANCE,55111,588849,4133,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,FORUM STAR,59687,925863,4245,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,GLADIATOR,32473,598380,1318,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,GOLD RUSH,40309,521106,1868,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,GOLDEN DAWN,35687,604315,1292,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,GOLDEN PISCES,32817,599585,586,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,GREAT PACIFIC,37660,608458,511,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,GUN-MAR,41312,640130,425,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,HALF MOON BAY,39230,615796,249,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,HAZEL LORRAINE,57117,592211,523,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,HICKORY WIND,47795,594154,993,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,INTREPID EXPLORER,64105,988598,4993,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,LESLIE LEE,56119,584873,1234,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,LISA MELINDA,41520,584360,4506,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MAJESTY,60650,962718,3996,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MAR-GUN,12110,525608,524,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MARCY J,00055,517024,2142,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MARGARET LYN,31672,615563,723,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MARK I,06440,509552,1242,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MESSIAH,66196,610150,6081,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MISS BERDIE,59123,913277,3679,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MISTY DAWN,68858,926647,5946,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MORNING STAR,38431,610393,208,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MORNING STAR,41009,618797,7270,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MORNING STAR,70323,1037811,6204,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MS AMY,56164,920936,2904,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,MUIR MILACH,41021,611524,480,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,NEAHKAHNIE,32858,599534,424,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,NORDIC EXPLORER,51092,678234,3009,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,NORDIC FURY,00200,542651,1094,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,NORDIC STAR,00961,584684,428,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,NORTHERN PATRIOT,55153,637744,2769,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,NORTHWEST EXPLORER,36808,609384,3002,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,OCEAN EXPLORER,51073,678236,3011,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,OCEAN HARVESTER,00101,549892,5130,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,OCEAN HOPE 3,48173,652397,1623,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,OCEAN LEADER,00032,561518,1229,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,OCEANIC,03404,602279,1667,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PACIFIC CHALLENGER,06931,518937,657,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PACIFIC EXPLORER,50759,678237,3010,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PACIFIC FURY,00033,561934,421,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PACIFIC KNIGHT,54643,561771,2783,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PACIFIC MONARCH,54645,557467,2785,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PACIFIC PRINCE,61450,697280,4194,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PACIFIC RAM,61792,589115,4305,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PACIFIC VIKING,00047,555058,422,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PEGASUS,57149,565120,1265,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PEGGY JO,09200,502779,979,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PERSEVERANCE,12668,536873,2837,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,POPADO II,55512,536161,2087,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,POSEIDON,37036,610436,1164,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PREDATOR,33744,547390,1275,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PROGRESS,00006,565349,512,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,PROVIDIAN,70709,1062183,6308,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,RAVEN,56395,629499,1236,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ROYAL AMERICAN,40840,624371,543,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,ROYAL ATLANTIC,00046,559271,236,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,SEA STORM,40969,628959,420,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,SEA WOLF,35957,609823,1652,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,SEADAWN,00077,548685,2059,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,SEEKER,59476,924585,2849,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,SOVEREIGNTY,55199,651752,2770,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,STAR FISH,00012,561651,1167,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,STARLITE,34931,597065,1998,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,STARWARD,39197,617807,417,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,STORM PETREL,39860,620769,1641,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,SUNSET BAY,35527,598484,251,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,TOPAZ,40250,575428,405,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,TRACY ANNE,54654,904859,2823,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,TRAVELER,58821,929356,3404,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,VANGUARD,39946,617802,519,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,VESTERAALEN,38342,611642,517,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,VIKING,00008,565017,1222,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,VIKING EXPLORER,36045,605228,1116,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,WALTER N,34919,257365,825,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,WESTERN DAWN,22294,524423,134,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2002,WESTWARD I,53247,615165,1650,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,AJ,57934,599164,3405,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ALASKA ROSE,38989,610984,515,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ALASKAN COMMAND,57321,599383,3391,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ALDEBARAN,48215,664363,901,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ALEUTIAN CHALLENGER,50570,603820,1687,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ALSEA,40749,626517,2811,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ALYESKA,00045,560237,395,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,AMBER DAWN,00028,529425,980,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,AMERICAN BEAUTY,24255,613847,1688,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,AMERICAN CHALLENGER,62152,633219,4120,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,AMERICAN EAGLE,00039,558605,434,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ANITA J,00029,560532,1913,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ARCTIC EXPLORER,57440,936302,3388,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ARCTIC WIND,01112,608216,5137,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ARCTURUS,45978,655328,533,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ARGOSY,38547,611365,2810,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,AURIGA,56153,639547,2889,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,AURORA,56154,636919,2888,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,BERING ROSE,40638,624325,516,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,BLUE FOX,62892,979437,4611,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,BRISTOL EXPLORER,55923,647985,3007,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,CAITLIN ANN,59779,960836,3800,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,CALIFORNIA HORIZON,33697,590758,412,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,CAPE KIWANDA,61432,618158,1235,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,CHELSEA K,62906,976753,4620,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,COLLIER BROTHERS,54648,593809,2791,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,COLUMBIA,39056,615729,1228,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,COMMODORE,53843,914214,2657,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,DEFENDER,56676,554030,3257,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,DESTINATION,60655,571879,3988,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,DOMINATOR,08668,602309,411,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,DONA MARTITA,51672,651751,2047,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ELIZABETH F,14767,526037,823,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,EXCALIBUR II,54653,636602,410,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,EXODUS,33112,598666,1249,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,FIERCE ALLEGIANCE,55111,588849,4133,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,FORUM STAR,59687,925863,4245,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,GLADIATOR,32473,598380,1318,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,GOLD RUSH,40309,521106,1868,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,GOLDEN DAWN,35687,604315,1292,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,GOLDEN PISCES,32817,599585,586,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,GREAT PACIFIC,37660,608458,511,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,GUN-MAR,41312,640130,425,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,HALF MOON BAY,39230,615796,249,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,HAZEL LORRAINE,57117,592211,523,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,HICKORY WIND,47795,594154,993,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,INTREPID EXPLORER,64105,988598,4993,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,LESLIE LEE,56119,584873,1234,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,LISA MELINDA,41520,584360,4506,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MAJESTY,60650,962718,3996,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MAR-GUN,12110,525608,524,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MARCY J,00055,517024,2142,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MARGARET LYN,31672,615563,723,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MARK I,06440,509552,1242,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MESSIAH,66196,610150,6081,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MISS BERDIE,59123,913277,3679,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MISTY DAWN,68858,926647,5946,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MORNING STAR,38431,610393,208,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MORNING STAR,41009,618797,7270,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MORNING STAR,70323,1037811,6204,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MS AMY,56164,920936,2904,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,MUIR MILACH,41021,611524,480,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,NEAHKAHNIE,32858,599534,424,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,NORDIC EXPLORER,51092,678234,3009,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,NORDIC FURY,00200,542651,1094,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,NORDIC STAR,00961,584684,428,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,NORTHERN PATRIOT,55153,637744,2769,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,NORTHWEST EXPLORER,36808,609384,3002,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,OCEAN EXPLORER,51073,678236,3011,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,OCEAN HARVESTER,00101,549892,5130,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,OCEAN HOPE 3,48173,652397,1623,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,OCEAN LEADER,00032,561518,1229,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,OCEANIC,03404,602279,1667,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PACIFIC CHALLENGER,06931,518937,657,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PACIFIC EXPLORER,50759,678237,3010,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PACIFIC FURY,00033,561934,421,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PACIFIC KNIGHT,54643,561771,2783,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PACIFIC MONARCH,54645,557467,2785,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PACIFIC PRINCE,61450,697280,4194,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PACIFIC RAM,61792,589115,4305,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PACIFIC VIKING,00047,555058,422,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PEGASUS,57149,565120,1265,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PEGGY JO,09200,502779,979,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PERSEVERANCE,12668,536873,2837,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,POPADO II,55512,536161,2087,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,POSEIDON,37036,610436,1164,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PREDATOR,33744,547390,1275,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PROGRESS,00006,565349,512,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,PROVIDIAN,70709,1062183,6308,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,RAVEN,56395,629499,1236,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ROYAL AMERICAN,40840,624371,543,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,ROYAL ATLANTIC,00046,559271,236,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,SEA STORM,40969,628959,420,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,SEA WOLF,35957,609823,1652,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,SEADAWN,00077,548685,2059,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,SEEKER,59476,924585,2849,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,SOVEREIGNTY,55199,651752,2770,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,STAR FISH,00012,561651,1167,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,STARLITE,34931,597065,1998,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,STARWARD,39197,617807,417,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,STORM PETREL,39860,620769,1641,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,SUNSET BAY,35527,598484,251,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,TOPAZ,40250,575428,405,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,TRACY ANNE,54654,904859,2823,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,TRAVELER,58821,929356,3404,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,VANGUARD,39946,617802,519,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,VESTERAALEN,38342,611642,517,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,VIKING,00008,565017,1222,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,VIKING EXPLORER,36045,605228,1116,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,WALTER N,34919,257365,825,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,WESTERN DAWN,22294,524423,134,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2003,WESTWARD I,53247,615165,1650,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,AJ,57934,599164,3405,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ALASKA ROSE,38989,610984,515,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ALASKAN COMMAND,57321,599383,3391,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ALDEBARAN,48215,664363,901,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ALEUTIAN CHALLENGER,50570,603820,1687,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ALSEA,40749,626517,2811,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ALYESKA,00045,560237,395,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,AMERICAN BEAUTY,24255,613847,1688,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,AMERICAN CHALLENGER,62152,633219,4120,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,AMERICAN EAGLE,00039,558605,434,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ANITA J,00029,560532,1913,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ARCTIC EXPLORER,57440,936302,3388,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ARCTIC WIND,01112,608216,5137,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ARCTURUS,45978,655328,533,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ARGOSY,38547,611365,2810,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,AURIGA,56153,639547,2889,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,AURORA,56154,636919,2888,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,BERING ROSE,40638,624325,516,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,BLUE FOX,62892,979437,4611,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,BRISTOL EXPLORER,55923,647985,3007,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,CAITLIN ANN,59779,960836,3800,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,CALIFORNIA HORIZON,33697,590758,412,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,CAPE KIWANDA,61432,618158,1235,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,CHELSEA K,62906,976753,4620,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,COLLIER BROTHERS,54648,593809,2791,NORTHERN,103,,,,,,,,,,,,,,,,,,
