VESSEL NAME,ADFG,CG NUM,AFA PERMIT,COOP ID,COOP NAME,CP,MTH,INS,BSAI PCOD,GOA GF
GREAT PACIFIC,37660,608458,511,105,UNALASKA,N,N,Y,N,N
GUN-MAR,41312,640130,425,106,UNISEA,N,N,Y,N,N
HALF MOON BAY,39230,615796,249,103,NORTHERN,N,N,Y,N,N
HAZEL LORRAINE,57117,592211,523,101,AKUTAN,N,N,Y,N,Y
HICKORY WIND,47795,594154,993,107,WESTWARD,N,N,Y,N,Y
INTREPID EXPLORER,64105,988598,4993,101,AKUTAN,N,N,Y,N,N
LESLIE LEE,56119,584873,1234,101,AKUTAN,N,N,Y,N,Y
LISA MELINDA,41520,584360,4506,101,AKUTAN,N,N,Y,N,Y
MAJESTY,60650,962718,3996,101,AKUTAN,N,N,Y,N,N
MAR-GUN,12110,525608,524,106,UNISEA,N,Y,Y,N,N
MARCY J,55,517024,2142,101,AKUTAN,N,N,Y,Y,Y
MARGARET LYN,31672,615563,723,101,AKUTAN,N,Y,Y,N,N
MARK I,6440,509552,1242,101,AKUTAN,N,Y,Y,N,N
MESSIAH,66196,610150,6081,105,UNALASKA,N,N,Y,Y,N
MISS BERDIE,59123,913277,3679,103,NORTHERN,N,N,Y,N,N
MISTY DAWN,68858,926647,5946,0,OPEN ACCESS,N,Y,N,N,N
MORNING STAR,38431,610393,208,105,UNALASKA,N,N,Y,N,N
MORNING STAR,41009,618797,7270,0,OPEN ACCESS,N,Y,N,N,N
MORNING STAR,70323,1037811,6204,104,PETER PAN,N,N,Y,N,Y
MS AMY,56164,920936,2904,105,UNALASKA,N,N,Y,N,N
MUIR MILACH,41021,611524,480,0,OPEN ACCESS,Y,N,N,N,N
NEAHKAHNIE,32858,599534,424,0,OPEN ACCESS,Y,N,N,N,N
NORDIC EXPLORER,51092,678234,3009,101,AKUTAN,N,N,Y,N,N
NORDIC FURY,200,542651,1094,103,NORTHERN,N,Y,Y,N,N
NORDIC STAR,961,584684,428,106,UNISEA,N,N,Y,N,N
NORTHERN PATRIOT,55153,637744,2769,101,AKUTAN,N,N,Y,N,N
NORTHWEST EXPLORER,36808,609384,3002,101,AKUTAN,N,N,Y,N,N
OCEAN EXPLORER,51073,678236,3011,101,AKUTAN,N,N,Y,N,N
OCEAN HARVESTER,101,549892,5130,0,OPEN ACCESS,Y,N,N,N,N
OCEAN HOPE 3,48173,652397,1623,107,WESTWARD,N,N,Y,Y,Y
OCEAN LEADER,32,561518,1229,104,PETER PAN,N,Y,Y,N,N
OCEANIC,3404,602279,1667,104,PETER PAN,N,Y,Y,N,N
PACIFIC CHALLENGER,6931,518937,657,104,PETER PAN,N,Y,Y,N,N
PACIFIC EXPLORER,50759,678237,3010,101,AKUTAN,N,N,Y,N,N
PACIFIC FURY,33,561934,421,103,NORTHERN,N,Y,Y,N,N
PACIFIC KNIGHT,54643,561771,2783,107,WESTWARD,N,N,Y,N,N
PACIFIC MONARCH,54645,557467,2785,106,UNISEA,N,N,Y,N,N
PACIFIC PRINCE,61450,697280,4194,107,WESTWARD,N,N,Y,N,N
PACIFIC RAM,61792,589115,4305,101,AKUTAN,N,N,Y,N,Y
PACIFIC VIKING,47,555058,422,101,AKUTAN,N,N,Y,N,N
PAPADO II,55512,536161,2087,0,OPEN ACCESS,N,Y,N,N,N
PEGASUS,57149,565120,1265,101,AKUTAN,N,N,Y,N,N
PEGGY JO,9200,502779,979,101,AKUTAN,N,N,Y,Y,Y
PERSEVERANCE,12668,536873,2837,101,AKUTAN,N,N,Y,Y,N
POSEIDON,37036,610436,1164,103,NORTHERN,N,N,Y,N,N
PREDATOR,33744,547390,1275,101,AKUTAN,N,N,Y,Y,N
PROGRESS,6,565349,512,105,UNALASKA,N,N,Y,N,N
PROVIDIAN,70709,1062183,6308,104,PETER PAN,N,N,Y,N,N
RAVEN,56395,629499,1236,101,AKUTAN,N,N,Y,N,N
ROYAL AMERICAN,40840,624371,543,101,AKUTAN,N,N,Y,N,N
ROYAL ATLANTIC,46,559271,236,103,NORTHERN,N,N,Y,N,N
SEA STORM,40969,628959,420,0,OPEN ACCESS,Y,N,N,N,N
SEA WOLF,35957,609823,1652,105,UNALASKA,N,N,Y,N,N
SEADAWN,77,548685,2059,106,UNISEA,N,N,Y,N,N
SEEKER,59476,924585,2849,101,AKUTAN,N,N,Y,Y,N
SOVEREIGNTY,55199,651752,2770,101,AKUTAN,N,N,Y,N,N
STAR FISH,12,561651,1167,106,UNISEA,N,N,Y,N,N
STARLITE,34931,597065,1998,106,UNISEA,N,N,Y,N,N
STARWARD,39197,617807,417,106,UNISEA,N,N,Y,N,N
STORM PETREL,39860,620769,1641,103,NORTHERN,N,N,Y,N,N
SUNSET BAY,35527,598484,251,103,NORTHERN,N,N,Y,N,N
TOPAZ,40250,575428,405,104,PETER PAN,N,N,Y,N,Y
TRACY ANNE,54654,904859,2823,0,OPEN ACCESS,Y,N,N,N,N
TRAVELER,58821,929356,3404,101,AKUTAN,N,Y,Y,N,N
VANGUARD,39946,617802,519,105,UNALASKA,N,Y,Y,N,N
VESTERAALEN,38342,611642,517,0,OPEN ACCESS,N,Y,N,N,N
VIKING EXPLORER,36045,605228,1116,101,AKUTAN,N,N,Y,N,N
VIKING,8,565017,1222,107,WESTWARD,N,N,Y,N,N
WALTER N,34919,257365,825,104,PETER PAN,N,N,Y,N,Y
WESTERN DAWN,22294,524423,134,105,UNALASKA,N,Y,Y,N,N
WESTWARD I,53247,615165,1650,107,WESTWARD,N,N,Y,N,N
