"recovery_period","p_-Fa","p_CECA-Fa","p_CECA-Spr","p_CECR-Fa","p_CECR-Spr","p_CECR-URB-LateFa","p_COBC-Fa","p_CRGN-Fa","p_CRGN-Sum","p_FRTH-Fa","p_FRTH-Spr","p_FRTH-Sum","p_GRAY-Fa","p_GST-Fa","p_GST-Sum","p_HOOD-Fa","p_JNST-Fa","p_JUAN-Fa","p_JUAN-Spr","p_KLTR-Fa","p_KLTR-Spr","p_LOCR-Fa","p_LOCR-Spr","p_LOCR-URB-LateFa","p_MPS-Fa","p_MPS-Spr","p_NA-NA","p_NOCA-Fa","p_NOOR-Fa","p_NOOR-Spr","p_NOWA-Fa","p_NOWA-Spr","p_NPS-Fa","p_NPS-Sum","p_NWC-Fa","p_NWC-Sum","p_SAFA-Fa","p_SAFA-LateFa","p_SAFA-Spr","p_SJOA-Fa","p_SKAG-Fa","p_SKAG-Spr","p_SKAG-Sum","p_SNAK-Fa","p_SNAK-LateFa","p_SNAK-Spr","p_SNAK-Sum","p_SNAK-URB-LateFa","p_SOOR-Fa","p_SOOR-Spr","p_SPS-Fa","p_SPS-Spr","p_UPCR-Fa","p_UPCR-Spr","p_UPCR-Sum","p_UPCR-URB-LateFa","p_WCVI-Fa","p_WILP-Fa"
1,NA,0.0201637233701359,NA,0.0454688267328791,NA,0.0135117720192747,NA,NA,0.0297004132231405,0.0185442090375876,NA,NA,NA,0.0262049268427465,0,0.153193087226472,NA,0.00297329441020651,0.00499864494564726,NA,NA,0.0268026661676939,0.0111266943522036,NA,0.163158009275126,0.179245706557411,0.0431733443806593,NA,NA,NA,0.0539137795304863,0.029670238501259,0.0132494203378602,0.126461200109482,NA,NA,0.0160270880361174,NA,NA,0.0523237679351216,0.00938873904999153,0.0795682237458316,0.0119441456776316,0.00930813555224241,NA,NA,NA,0.0129353084589826,NA,NA,0.0813746939713127,0.0351242341657254,NA,NA,0.00742484336884604,NA,NA,NA
2,NA,0.0126852186483556,NA,0.0152780224041546,NA,0,NA,NA,NA,0.0302670105473376,NA,0.00531929040665975,NA,0.0366653221359965,NA,0.139582660618936,NA,0.131794619455554,0.023696682464455,NA,NA,0.00975424422486434,0.0172620865883378,NA,0.125789148163353,0.0989049436054884,0.0194377418472793,NA,NA,NA,0.0556315309277362,0.0737815263329363,0.0102676275834734,0.147984189918128,NA,0.0376688736531365,0.00572776981096931,NA,NA,NA,0.0122005868943784,0.0700412553329806,0.0223141194568031,0.00794611194910576,NA,0.00300204102179225,NA,0.0300487945783664,NA,NA,0.0927134464023945,0.0460091715572624,0.0103000162027221,0.00666054871604886,0.0158880173083535,NA,NA,NA
3,NA,0.00291242533302247,0.000946166583011694,0.023350319633314,0.000989107377248042,0.0020794299057073,NA,NA,0.00108612780541578,0.0279381945603165,0.0122142303600383,0.00747688608195344,NA,0.0121262441362712,0.00162330386281656,0.0192342723990074,0.00182339422910515,0.0279346930856543,0.0226668121369142,0.000848949903740035,0.000833587349378853,0.00996847820443775,0.00516126373579183,NA,0.0309030460175966,0.0681688432770322,0.0177190692185353,0.00194425694192037,NA,NA,0.0160073638983553,0.0236536271996081,0.0137088145829413,0.0906205217448267,NA,0.00384730897973869,0.00493561724119702,NA,0.000686547703526778,0.00464164598442141,0.00321742590384984,0.553849461502554,0.00257998442452988,0.0130102975745152,0.00693064851530931,0.00175426591436445,NA,0.0120828664676097,0.00151853333026615,NA,0.0241871068472281,0.0108284706104015,0.00170617675148616,NA,0.0123695491220364,NA,0.00294763459804813,0
4,0.000117974667535589,0.00106225108032764,0.000217392086204739,0.00223918520764254,0.000428830360427153,0.0011286324474932,0.000129708385030831,0.000279207478823502,0.00101360028304823,0.0141417221952411,0.00129996984823026,0.0102510911984048,0.000145141620121563,0.00609381085438686,0.000478067531828144,0.239069419739049,0.000993576617587975,0.00592723765709353,0.00643887687348724,0.000149409642168538,NA,0.00180526511144752,0.00122395558526218,0.000280994519029605,0.0927937116856624,0.0612432296436234,0.00894897994877309,NA,0.000257800341990614,0.00019250837235345,0.0793508491254888,0.0865193315931952,0.00736439201227965,0.0339151233724396,0.000468759073887627,0.000310631723112413,0.000400794063591469,0.000151845257927946,0.000126743195415136,0.000205689550279092,0.00574572134033009,0.186173204281064,0.0078066779613185,0.00441143230848839,0.000805730561337108,0.000117383153874055,NA,0.00278455260829029,0.000491460820165226,0.000554272274437538,0.125518167042713,0.0102522335763868,0.0005514484420495,0.000236406455969989,0.0022909889709344,0.000114598901944283,0.000659269592198947,0.000338374995499357
5,NA,0.000127876944412748,NA,0.00010803649635372,NA,0.000276072451271176,NA,NA,4.41552566975077e-05,0.00424168283199497,NA,0.000269199528939676,4.81978152868836e-05,0.00371690436598722,6.29681318214177e-05,0.1503398614514,0.000255173400784913,0.0331168420525282,0.0127327143604891,NA,NA,0.000116115781529623,5.53252498843572e-05,NA,0.288335944702748,0.0602210666805441,0.00124226440228866,NA,NA,NA,0.0914518603274864,0.0195528481742309,0.00115537136751354,0.098408487903867,0.000246413560166559,0.000181211247841894,NA,NA,NA,0.000191561166800444,0.0145119400642062,0.00363855382412512,0.0196080369348083,0.000199566729205536,8.97182373760389e-05,NA,6.80076187518457e-05,0.000285758006193719,NA,NA,0.15463437764841,0.0467240158679231,0.000104007651109021,4.81978152868836e-05,0.000249102572473221,NA,6.83312924670084e-05,4.3445365110731e-05
6,NA,NA,NA,0.0203726017523029,NA,NA,NA,NA,NA,0.0230066786135773,NA,NA,NA,0.0243290624792695,NA,0.0917738318566202,NA,0.301557606679255,0.0102390475588691,0.0143773935092603,NA,0.0252224142375608,0.0149023300704671,NA,0.148989982186379,0.131871870195652,0.0105468741325834,NA,NA,NA,0.0718990536149807,0.0378960525168043,NA,0.094090833210629,NA,0.0189881483369441,NA,NA,NA,0,0.063747769472788,0.06243783973168,0.00411219797551317,0.00516623614698775,NA,NA,NA,NA,NA,0.010386373078521,0.0684258027118407,0.0290183768009421,NA,NA,0.0290393915586503,NA,NA,NA
