Fishery,Year,Participant type,Vessel_name,ADF&G / USCG ,FFP/FPP Number ,AFA Permit Number ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,MAJESTY ,60650 / 92718 ,3996 ,3996 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,OCEAN EXPLORER ,51073 / 678236 ,3011 ,3011 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,PACIFIC EXPLORER ,50759 / 678237 ,3010 ,3010 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,BRISTOL EXPLORER ,55923 / 647985 ,3007 ,3007 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,NORTHWEST EXPLORER ,36808 / 609384 ,3002 ,3002 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV ,GLADIATOR ,32473 / 598380 ,1318 ,1318 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV under 60’ ,ADVANCER ,40762 / 621168 ,3628 ,n/a ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV under 60’ ,ALASKAN LADY ,26280 / 566146 ,1889 ,n/a ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV under 60’ ,CELTIC ,57469 / 942733 ,3474 ,n/a ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV under 60’ ,EXCELLER ,47952 / 659770 ,1630 ,n/a ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV under 60’ ,KAREN EVICH ,46701 / 656716 ,3713 ,n/a ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV under 60’ ,MARAUDER ,62288 / 975597 ,4521 ,n/a ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CV under 60’ ,OCEAN STORM ,64667 / 986786 ,5000 ,n/a ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,CP ,KATIE ANN ,55301 / 518441 ,1996 ,1996 ,,,,,,,,,,,,,,,
Aleutian Pollock,2007,Shoreside Processor ,Adak Fisheries LLC ,27101 ,,,,,,,,,,,,,,,,,
Aleutian Pollock,2008,CV ,MUIR MILACH ,41021 / 615524 ,480 ,480 ,,,,,,,,,,,,,,,
Aleutian Pollock,2008,CV ,BRISTOL EXPLORER ,55923/647985 ,3007 ,3007 ,,,,,,,,,,,,,,,
Aleutian Pollock,2008,CV ,NORTHWEST EXPLORER ,36808/609384 ,3002 ,3002 ,,,,,,,,,,,,,,,
Aleutian Pollock,2008,CV ,PACIFIC EXPLORER ,50759/678237 ,3010 ,3010 ,,,,,,,,,,,,,,,
Aleutian Pollock,2008,CV ,OCEAN EXPLORER ,81073/678236 ,3011 ,3011 ,,,,,,,,,,,,,,,
